Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
174,a,"Reminds me of being young/I used to enjoy this song when it was in the charts, when I was much younger. I created a playlist full of songs that reminded me of my youth, and this was a big hit at the time./I quite enjoy listening to the track because I remember all the words from when I was younger, and it reminds me of my childhood / youth./No - it is just a song that was popular when I was growing up which I listen to for nostalgia","/I used to enjoy this song when it was in the charts, when I was much younger / I quite enjoy listening to the track because I remember all the words from when I was younger, and it reminds me of my childhood",,,,,,"I quite enjoy listening to the track because I remember all the words from when I was younger, and it reminds me of my childhood",,,,,,,,,,,,,,,,,,,,,,,,," I created a playlist full of songs that reminded me of my youth, and this was a big hit at the time.",,,,,,,,,"Reminds me of being young / /I used to enjoy this song when it was in the charts, when I was much younger /  I created a playlist full of songs that reminded me of my youth, and this was a big hit at the time. / I quite enjoy listening to the track because I remember all the words from when I was younger, and it reminds me of my childhood /  youth./ No - it is just a song that was popular when I was growing up which I listen to for nostalgia",,,No - it is just a song that was popular when I was growing up which I listen to for nostalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No - it is just a song that was popular when I was growing up which I listen to for nostalgia,
174,b,"It makes me happy\It was a very popular song during my childhood, and I was a big fan of the Backstreet Boys\The song makes me happy. It reminds me of my childhood and how much I enjoyed the Backstreet Boys at the time. Listening to the song back as an adult, it is quite relaxing and good to chill out to.\No particular relationship. It reminds me of my primary school best friend as it was her favourite song.","\It was a very popular song during my childhood, and I was a big fan of the Backstreet Boys/  It reminds me of my childhood and how much I enjoyed the Backstreet Boys at the time.",No particular relationship. It reminds me of my primary school best friend as it was her favourite song.,,,,,,,,,,,,,,,,,,,,,,"\It was a very popular song during my childhood, and I was a big fan of the Backstreet Boys/  It reminds me of my childhood and how much I enjoyed the Backstreet Boys at the time.",,,,,,,,,,,,,,,,,"\It was a very popular song during my childhood, and I was a big fan of the Backstreet Boys/  It reminds me of my childhood and how much I enjoyed the Backstreet Boys at the time.",,,,,,,,No particular relationship. It reminds me of my primary school best friend as it was her favourite song.,,,,,,,,,,,,,,,,,,,,"Listening to the song back as an adult, it is quite relaxing and good to chill out to",,It makes me happy/ The song makes me happy,,,,No particular relationship. It reminds me of my primary school best friend as it was her favourite song.,
175,a,"Righteousness 
Great Depression
Teamwork
Rich are overpowered
 I liked the album/soundtrack it appears on so I brought it. It also has one of my favourite artists on it. I like the message and the story behind it Yes, the track is part of a wider story and thus has an important message to say. It is also based on a film that I enjoyed.", I liked the album/soundtrack it appears on so I brought it / . It is also based on a film that I enjoyed., It also has one of my favourite artists on it.,,,,Righteousness ,,"Righteousness, Great Depression, Teamwork, Rich are overpowered /  I like the message and the story behind it  / Yes, the track is part of a wider story and thus has an important message to say.",,,,,,,,,,,,,,, I liked the album/soundtrack it appears on so I brought it, It also has one of my favourite artists on it.,,,,,. It is also based on a film that I enjoyed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Righteousness, Great Depression, Teamwork, Rich are overpowered ",,,,,,,,,,,,,,
175,b,"I love this song I had a discount for an album on the google play store and I used to buy the Wicked soundtrack for half price because it was on the first musicals I liked and it had some bonus tracks.c Yes, The musical it appears in lead to both my love of musicals.",I love this song/  It reminds me of my past and I will always enjoy Wicked.,,,,,,,,,,,,,,,,,,,,,,I had a discount for an album on the google play store and I used to buy the Wicked soundtrack for half price because it was on the first musicals I liked and it had some bonus tracks.,,,,,,,,"I had a discount for an album on the google play store and I used to buy the Wicked soundtrack for half price because it was on the first musicals I liked and it had some bonus tracks./  It reminds me of my past and I will always enjoy Wicked./  Yes, The musical it appears in lead to both my love of musicals.",,,,,,,,,, It reminds me of my past and I will always enjoy Wicked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,a,"Recovering from a personal bereavement /I have all Mumfords & Sons Albums on my phone/I like music that speaks directly to your soul, to your raw emotions/Yes, a song I will play to remind me of how moving on with life is important, but small steps are OK","I like music that speaks directly to your soul, to your raw emotions",,,,,,,"I like music that speaks directly to your soul, to your raw emotions / Yes, a song I will play to remind me of how moving on with life is important, but small steps are OK",,,,,,,,,,,,,,,I have all Mumfords & Sons Albums on my phone,I have all Mumfords & Sons Albums on my phone,,,,,,,,,,,,Recovering from a personal bereavement,,,,,,,,,,,,,,Recovering from a personal bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,
176,b,"Being 16 and wearing a parka, drinking cider in the park\Beatles 1 album is an album for all seasons\It's easy to access\No. I would say a relationship with this sort of 60s music generally. It takes me back to the 90s when it had a resurgence off the back of Brit Pop, and those were my youth culture days",,,,,,It's easy to access,,,,,,,,,,,,,,,,,Beatles 1 album is an album for all seasons,,No. I would say a relationship with this sort of 60s music generally.,"It takes me back to the 90s when it had a resurgence off the back of Brit Pop, and those were my youth culture days",,,,,,,,,,,,,,"Being 16 and wearing a parka, drinking cider in the park","Being 16 and wearing a parka, drinking cider in the park/ It takes me back to the 90s when it had a resurgence off the back of Brit Pop, and those were my youth culture days",,,,,,,,,,,,,,,,,,,,,,Beatles 1 album is an album for all seasons,,,,,,,,,,,,No. I would say a relationship with this sort of 60s music generally.,
177,a,"Excitement, beautiful harmonies, part singing. Knowing my daughter will be singing this in September.
On othe occasions it makes me cry because of the longing and hope which is portrayed. I love musical theatre, also my daughter is learning it for her show. Because it's beautiful Yes. My husband took me to see this show and then proposed so it's very special. "," I love musical theatre, also my daughter is learning it for her show. / Because it's beautiful ",,,,,"Excitement, beautiful harmonies, part singing,  Because it's beautiful",,On othe occasions it makes me cry because of the longing and hope which is portrayed. ,,,,,,,,,,"Excitement, beautiful harmonies, part singing",,,,"Excitement, beautiful harmonies, part singing",,,," I love musical theatre, also my daughter is learning it for her show.",,,,,,,,,,,,Yes. My husband took me to see this show and then proposed so it's very special. ,,,,,,," Knowing my daughter will be singing this in September./  I love musical theatre, also my daughter is learning it for her show.",,, Knowing my daughter will be singing this in September.,,,Yes. My husband took me to see this show and then proposed so it's very special. ,,,,,,,,,,,,,,,,,,,,,,On othe occasions it makes me cry because of the longing and hope which is portrayed. ,,,
177,b,"Wonder,  My daughter likes film music and wanted the soundtrack after watching the film. I love the different moods in this piece.  I'm beginning to as my daughter quotes which part of the film is being represented by the music. It will probably become one of those special memories.", I love the different moods in this piece,,,,,,, I love the different moods in this piece,,,,,,,,,,,,,,,,,,,,,My daughter likes film music and wanted the soundtrack after watching the film./  I'm beginning to as my daughter quotes which part of the film is being represented by the music.,,,,,,,,,,,,,,,,,,, My daughter likes film music and wanted the soundtrack after watching the film./ I'm beginning to as my daughter quotes which part of the film is being represented by the music.,,,,,,,,,,,,,,,,,,,,,,,,,,, I'm beginning to as my daughter quotes which part of the film is being represented by the music. . It will probably become one of those special memories.,
178,a,"Remembering the last time I heard it at a party and what happened that night/I like the song so downloaded it/Upbeat rhythms and happy song/No, I just enjoy it and it has no real events or relationship associated with it","/I like the song so downloaded it / No, I just enjoy it and it has no real events or relationship associated with it",,,,,Upbeat rhythms and happy song ,,Upbeat rhythms and happy song,,Upbeat rhythms and happy song,,,,,,Upbeat rhythms and happy song,,,,,,,,,,,,,,,,,,,,,,Remembering the last time I heard it at a party and what happened that night,,,,,Remembering the last time I heard it ,,,,,,,,,,,,,,Remembering the last time I heard it at a party and what happened that night,,,,,,,,,,,,,,,,,,"No, I just enjoy it and it has no real events or relationship associated with it",
178,b,"Samba and drumming\I love this song and downloaded it so I could write it for my university percussion ensemble\Really enjoy it as it is a very happy and joyful song that makes you feel positive\Yes, it reminds of when I first set up my own percussion ensemble and makes me happy as it's the first piece we played together",\I love this song and downloaded it so I could write it for my university percussion ensemble/ Really enjoy it as it is a very happy and joyful song that makes you feel positive,,,,,Really enjoy it as it is a very happy and joyful song that makes you feel positive,,,,,,Samba and drumming,,,,,,,,,,,,,,Samba and drumming,,,,,,,,,,,,,,,"Yes, it reminds of when I first set up my own percussion ensemble and makes me happy as it's the first piece we played together",,,,"\I love this song and downloaded it so I could write it for my university percussion ensemble/ Yes, it reminds of when I first set up my own percussion ensemble and makes me happy as it's the first piece we played together",,,,,,,,,,,,,,,,,,,,,,,,,,Really enjoy it as it is a very happy and joyful song that makes you feel positive,,,,,
179,a,Its funky/Part of an albumn that I downloaded/I like Maroon 5 and it has a good beat./No,I like Maroon 5 and it has a good beat.,,,,,Its funky,,,,I like Maroon 5 and it has a good beat.,,,,,,,,,,,,,Part of an albumn that I downloaded,I like Maroon 5 and it has a good beat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
179,b,"I smiled as soon as it came on \part of an albumn, I love Fuse ODG and afro beats \It makes me want to dance and I love dancing\I have a special relationship with any Fuse ODG music. I call it my happy music as it always makes me want to smile and cheers me up. Also went to see Fuse ODG live and it was a really good night.", Also went to see Fuse ODG live and it was a really good night.,,,,,,,,,"part of an albumn, I love Fuse ODG and afro beats",,,,,,,,,,,,,"part of an albumn, I love Fuse ODG and afro beats","part of an albumn, I love Fuse ODG and afro beats/ I have a special relationship with any Fuse ODG music/  Also went to see Fuse ODG live and it was a really good night.",,,,,,,,,,,,, Also went to see Fuse ODG live and it was a really good night.,,,,,,,,,,,,,,,,,It makes me want to dance and I love dancing,,,,,,,,,,,,,,,,,I smiled as soon as it came on / I call it my happy music as it always makes me want to smile and cheers me up,,,,I have a special relationship with any Fuse ODG music,
180,a,"This new rap world emerging in London and being respected as a genre of music, I feel however I am still going against the crown when saying I like this song. It's a song which makes you want to dance and gets you hyped for workouts for example or sports.  It straight away makes me move and for that reason, it's worth listening to, also it makes me laugh. I do love grime it's a genre which is very honest and it very energetic. No, not really just something has always been played around be from a young age at school. Apart of the south London culture.","This new rap world emerging in London and being respected as a genre of music, I feel however I am still going against the crown when saying I like this song /   It straight away makes me move and for that reason, it's worth listening to, also it makes me laugh /  I do love grime it's a genre which is very honest and it very energetic.",,,,,,,"This new rap world emerging in London and being respected as a genre of music, I feel however I am still going against the crown when saying I like this song",,,,,,,,,,,,,,,,,,"This new rap world emerging in London and being respected as a genre of music, I feel however I am still going against the crown when saying I like this song /  I do love grime it's a genre which is very honest and it very energetic.",,,,,,,,,,,,,,"This new rap world emerging in London and being respected as a genre of music, I feel however I am still going against the crown when saying I like this song / o, not really just something has always been played around be from a young age at school. Apart of the south London culture.","o, not really just something has always been played around be from a young age at school. Apart of the south London culture.",,,,,,,,,,,,," It's a song which makes you want to dance and gets you hyped for workouts for example or sports.  /   It straight away makes me move and for that reason, it's worth listening to, also it makes me laugh",, It's a song which makes you want to dance and gets you hyped for workouts for example or sports.  ,,,,,,,,,,,"  It straight away makes me move and for that reason, it's worth listening to, also it makes me laugh",,, It's a song which makes you want to dance and gets you hyped for workouts for example or sports.  /  I do love grime it's a genre which is very honest and it very energetic.,"  It straight away makes me move and for that reason, it's worth listening to, also it makes me laugh",,,,"No, not really just something has always been played around be from a young age at school. Apart of the south London culture.",
180,b,"Jazz funk sunny days with a smile. it has a great feeling to it with the mix of jazz and hip-hop. always makes you smile and move your head.  makes you move and makes me feel happy and if a song does that then it holds a special power which is important to me. no, again just my background of jazz and hip-hop growing up this mix is homely to me in some way.",it has a great feeling to it with the mix of jazz and hip-hop.,,,,,,,it has a great feeling to it with the mix of jazz and hip-hop./ makes you move and makes me feel happy and if a song does that then it holds a special power which is important to me.,,,,,,,,,,,,,,,,,,"Jazz funk sunny days with a smile. / it has a great feeling to it with the mix of jazz and hip-hop./ no, again just my background of jazz and hip-hop growing up this mix is homely to me in some way.",,,,,,,,,,Jazz funk sunny days with a smile. i,,,,,"no, again just my background of jazz and hip-hop growing up this mix is homely to me in some way.",,,,,,,,,,,,,always makes you smile and move your head./ makes you move and makes me feel happy and if a song does that then it holds a special power which is important to me.,,,,,,,,,Jazz funk sunny days with a smile,,,,,,,,always makes you smile and move your head./ makes you move and makes me feel happy and if a song does that then it holds a special power which is important to me.,,,,"no, again just my background of jazz and hip-hop growing up this mix is homely to me in some way.",
181,a,"Boring It's part of a best of, that I bought because I like a few of the tracks. Doesn't really appeal to me.  No. 
Like I wrote, it's part of a best of-album, and so on. ",,,Boring/ Doesn't really appeal to me.,,,Boring ,,,,,,,,,,,,,,,,,"Boring It's part of a best of, that I bought because I like a few of the tracks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," No. 
Like I wrote, it's part of a best of-album, and so on. ",
181,b,"very poppy, and kind of all over the place with random sounds and not many lyrics. When I heard this song for the first time I thought it was very unique and it stood out to me, I saved it and continued to save other songs by the artist. I havent listened ",,,,,I havent listened ,"very poppy, kind of all over the place with random sounds and not many lyrics, When I heard this song for the first time I thought it was very unique and it stood out to me, I saved it and continued to save other songs by the artist. ",and kind of all over the place with random sounds and not many lyrics. ,,,,,,,,,,,,"and kind of all over the place with random sounds and not many lyrics. / When I heard this song for the first time I thought it was very unique and it stood out to me, I saved it and continued to save other songs by the artist.",,,,,"When I heard this song for the first time I thought it was very unique and it stood out to me, I saved it and continued to save other songs by the artist.",,"very poppy,",,,,,,"When I heard this song for the first time I thought it was very unique and it stood out to me, I saved it and continued to save other songs by the artist.",,,"When I heard this song for the first time I thought it was very unique and it stood out to me, I saved it and continued to save other songs by the artist. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,a,"I really like the artist as a person because she sent me free tickets, plus I like a lot of her music I bought the album because of another track it contained.  It's funky, Motown, upbeat, and sung from the heart.  No. It's good, and I appreciate it for its quality, but it doesn't move me. ","I really like the artist as a person because she sent me free tickets, plus I like a lot of her music /  No. It's good, and I appreciate it for its quality, but it doesn't move me. ",,,,,"it's funky, Motown, upbeat, and sung from the heart. ",,,,"  It's funky, Motown, upbeat, and sung from the heart. ",,,,," No. It's good, and I appreciate it for its quality, but it doesn't move me. ",,,,,,,,I bought the album because of another track it contained.,"I really like the artist as a person because she sent me free tickets, plus I like a lot of her music ",,"  It's funky, Motown, upbeat, and sung from the heart. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," No. It's good, and I appreciate it for its quality, but it doesn't move me. ",
182,b,"Ooh Florrie, I'd forgotten about this one. I bought this, and everything else Florrie had for download purely on the strength of one track I heard over the instore speakers in Coin department store, in Como, Italy. That track was ""She Always Gets What She Wants"" and I Shazammed it while waiting for my wife to choose some clothes or makeup or something.  Upbeat disco, lovely voice, don't play it often, so not overplayed.  Somewhat, because it reminds me of that holiday.",,,,,,,,,,"Upbeat disco, lovely voice, don't play it often, so not overplayed.  ",,,,,,,,,,,,"Upbeat disco, lovely voice, don't play it often, so not overplayed.  ",," Ooh Florrie, I'd forgotten about this one./ bought this, and everything else Florrie had for download purely on the strength of one track I heard over the instore speakers in Coin department store, in Como, Italy.",,"Upbeat disco, lovely voice, don't play it often, so not overplayed.  ",,,,,,,,,,,,,"omewhat, because it reminds me of that holiday.","I bought this, and everything else Florrie had for download purely on the strength of one track I heard over the instore speakers in Coin department store, in Como, Italy.",,,"Ooh Florrie, I'd forgotten about this one.",,,,,,,," That track was ""She Always Gets What She Wants"" and I Shazammed it while waiting for my wife to choose some clothes or makeup or something",,,,,,,,,,,,,,,,,,,,,,,,"omewhat, because it reminds me of that holiday.",
183,a,I loved this whole album as a child and now my eight-year-old daughter loves it too! So that I could easily play it through the car stereo using Bluetooth. It is uplifting and makes me think of the excitement of going to the theatre to see a live show. Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,I loved this whole album as a child and now my eight-year-old daughter loves it too! ,,,Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,,,,,,,,,,,,,,,,,,,I loved this whole album as a child and now my eight-year-old daughter loves it too! ,,,,,,,,It is uplifting and makes me think of the excitement of going to the theatre to see a live show. / Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,,It is uplifting and makes me think of the excitement of going to the theatre to see a live show. ,,,,Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,,,I loved this whole album as a child and now my eight-year-old daughter loves it too! ,,,,Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,,,I loved this whole album as a child and now my eight-year-old daughter loves it too! / Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,,,Yes - it's from a musical which I saw lice at the theatre as a child; my husband took me to see it again as a birthday treat a few years ago; and my daughter appeared in an abridged version with her drama group.,,,,So that I could easily play it through the car stereo using Bluetooth. ,,,,,,,,,,,,,,,It is uplifting and makes me think of the excitement of going to the theatre to see a live show. ,It is uplifting and makes me think of the excitement of going to the theatre to see a live show. ,,,,,
183,b,"Being a teenager! I loved singing along to this track in my teens (I'm now 37). I heard it again recently at a show my nephews (aged 9 and 11) were performing in and remembered how much I liked it, so I downloaded it on the way home from the show! I just love singing along and I often find I most enjoy songs that tell a story like this one. No, no particular relationship, just a fun song that I enjoy singing along with.","I heard it again recently at a show my nephews (aged 9 and 11) were performing in and remembered how much I liked it, so I downloaded it on the way home from the show! /  No, no particular relationship, just a fun song that I enjoy singing along with.",,,,,,, I just love singing along and I often find I most enjoy songs that tell a story like this one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Being a teenager! I loved singing along to this track in my teens ,,,,,,,"I heard it again recently at a show my nephews (aged 9 and 11) were performing in and remembered how much I liked it, so I downloaded it on the way home from the show! ",,,,,,,,,,"Being a teenager! I loved singing along to this track in my teens /  I just love singing along and I often find I most enjoy songs that tell a story like this one./  No, no particular relationship, just a fun song that I enjoy singing along with.",,,,,,,,,,,,,,,,," No, no particular relationship, just a fun song that I enjoy singing along with.",
184,a,"That I am excited to go and see All Time Low in concert later on this year. Reminds me of a break -up. I really like the artist and the lyrics of the song.  Although it reminds me of a past relationship, it is quite a fast paced song. This helps me to overcome the negative feelings that I associate with the relationship. I also like the creativity of the lyrics. Yes - previously explained. Reminder of past relationship. ", I really like the artist and the lyrics of the song.  / I also like the creativity of the lyrics.,,, Yes - previously explained. Reminder of past relationship. ,,, I really like the artist and the lyrics of the song.  / I also like the creativity of the lyrics.,,,,,,,,,,,,,,"Although it reminds me of a past relationship, it is quite a fast paced song. ",,,That I am excited to go and see All Time Low in concert later on this year. /  I really like the artist and the lyrics of the song.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reminds me of a break -up./ Although it reminds me of a past relationship, it is quite a fast paced song. / This helps me to overcome the negative feelings that I associate with the relationship/  Yes - previously explained. Reminder of past relationship. ",,,,,,,,,,,,,,,,This helps me to overcome the negative feelings that I associate with the relationship,,,,That I am excited to go and see All Time Low in concert later on this year. ,,,,,
184,b,"Inspiring to be creative and realize the light that is in the world. Reminds me of summer and if a very happy track. First seen on a YouTube video of Mongolia's got talent 2016. I find it very inspirational and it helps to boast my mood.  I really enjoy listening to this track as it makes me feel inspired. Yes - I relate it to the video and performance of the individual on Mongolia's got talent and his story and passion. This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat.", I really enjoy listening to this track as it makes me feel inspired. ,,,,,"This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat,  Reminds me of summer and if a very happy track.",,"Inspiring to be creative and realize the light that is in the world./ Reminds me of summer and if a very happy track. /  I find it very inspirational and it helps to boast my mood. / This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat.",,"This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat.",,,,,,,,,,,"This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat.",,,,,,,,,Yes - I relate it to the video and performance of the individual on Mongolia's got talent and his story and passion,,,,, First seen on a YouTube video of Mongolia's got talent 2016. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reminds me of summer and if a very happy track. ,Inspiring to be creative and realize the light that is in the world.," I find it very inspirational and it helps to boast my mood. / This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat.",,,," I find it very inspirational and it helps to boast my mood. / This song helps to bring my mood up when I'm feeling down and I generally find it inspirational, not due to lyrics but rather tempo and beat.", I really enjoy listening to this track as it makes me feel inspired. ,,,,
185,a,"It's a track with energy, one of my favourites. /I saw Jimi play live at a festival and was mesmerised for te whole set. There are steel drums which I also like. It had a coda section at the end which makes the song much more interesting. Jim's voice is also excellent./I know it well and gives me a boost when listening. It's also a running track/Yes. It's about cutting out depression in your life and mentions his father. They are powerful references which resonate with me.", There are steel drums which I also like.  / Jim's voice is also excellent.,"It's a track with energy, one of my favourites.",,I know it well and gives me a boost when listening / Yes. It's about cutting out depression in your life and mentions his father. They are powerful references which resonate with me.,,,,Yes. It's about cutting out depression in your life and mentions his father. They are powerful references which resonate with me.,,,, There are steel drums which I also like. ,,Jim's voice is also excellent.,,,,t had a coda section at the end which makes the song much more interesting.,,,,Jim's voice is also excellent.,,I saw Jimi play live at a festival and was mesmerised for te whole set. ,,,,,,,,,,,,,I saw Jimi play live at a festival and was mesmerised for te whole set. ,,,,,,,,,,,,,,,,,,,It's also a running track,,,,,,,,,,,,,,"It's a track with energy, one of my favourites. / I know it well and gives me a boost when listening",,,,,,
185,b,It's a joyful song. Moving and emotional\It's from a film that my wife loves. It's set in Dublin and simply shot.\I kid myself thst I could perform this if I learnt to play guitar or piano. It's raw emotion rather than a highly produced song.\Yes. As above.,,,,,,"It's a joyful song. Moving and emotional, It's raw emotion rather than a highly produced song",,,,,,,,, It's raw emotion rather than a highly produced song,,,,,,,,,,,,,,It's from a film that my wife loves. It's set in Dublin and simply shot.,,,,,,,,,,,,,,,,I kid myself thst I could perform this if I learnt to play guitar or piano,,,,,,It's from a film that my wife loves. It's set in Dublin and simply shot.,,,,,,,,,,,,,,,,,,,,,,,,,
186,a,"Summer. As soon as the first chord is played, it instantly makes me feel happier. I just really like the song and the beat that it has. It reminds me of summer, even though it is a new song and summer is my favourite time of year so this makes me happy. Its also a really good song to sing along to so this is also why I saved the track. It just reminds me to be happy and to enjoy life. I really like The Chainsmokers too. It also reminds me of various trips that I have had to Paris (as the title of the song is Paris), and this makes me think about my family, especially as my sister lived out there for a while. Not really, except for the fact that it reminds me of various holidays that I've had to Paris. The song wasn't released when I went on these holidays though so I don't feel as though I can say I have a relationship with the track.", I just really like the song and the beat that it has. /  I really like The Chainsmokers too.,,,,,,,It just reminds me to be happy and to enjoy life. ,, I just really like the song and the beat that it has.,,,,,,,,,,,,,, I really like The Chainsmokers too.,,,,,,,,,,,,,,," It also reminds me of various trips that I have had to Paris (as the title of the song is Paris), and this makes me think about my family, especially as my sister lived out there for a while. / Not really, except for the fact that it reminds me of various holidays that I've had to Paris. "," It also reminds me of various trips that I have had to Paris (as the title of the song is Paris), and this makes me think about my family, especially as my sister lived out there for a while.",,,,,,,," It also reminds me of various trips that I have had to Paris (as the title of the song is Paris), and this makes me think about my family, especially as my sister lived out there for a while.",,,,,,,,,,Its also a really good song to sing along to so this is also why I saved the track.,,,,,,,"Summer.  /  It reminds me of summer, even though it is a new song and summer is my favourite time of year so this makes me happy.",,,,,,"As soon as the first chord is played, it instantly makes me feel happier.  /  It reminds me of summer, even though it is a new song and summer is my favourite time of year so this makes me happy. / It just reminds me to be happy and to enjoy life. ",,,,"Not really, except for the fact that it reminds me of various holidays that I've had to Paris. The song wasn't released when I went on these holidays though so I don't feel as though I can say I have a relationship with the track.",
186,b,"Contemporary Dance I did a dance to this so I saved it so I could practise the dance in my own time. I like Halsey and her songs. I really liked the song and I do still like it but since doing a dance to it, the only thing that I think of when listening to the song is the dance that was choreographed. Yes as I did a dance to it, so it reminds me of learning the dance and all the rehearsals that we had."," I like Halsey and her songs. /  I really liked the song and I do still like it but since doing a dance to it, the only thing that I think of when listening to the song is the dance that was choreographed. ",,,,,,,,,,,,,,,,,,,,,,, I like Halsey and her songs. ,,,,,,,,,,,,,,,,,,,,,"I did a dance to it, so it reminds me of learning the dance and all the rehearsals that we had,  I really liked the song and I do still like it but since doing a dance to it, the only thing that I think of when listening to the song is the dance that was choreographed. .",,,,,,,,,"Contemporary Dance/  I did a dance to this so I saved it so I could practise the dance in my own time./  I really liked the song and I do still like it but since doing a dance to it, the only thing that I think of when listening to the song is the dance that was choreographed./ Yes as I did a dance to it, so it reminds me of learning the dance and all the rehearsals that we had. ",,,,,,,,,,,,,,,,,,,,,,
187,a,"The band and how quickly it became popular. I like the feeling and mood of the song. It is upbeat. It is energetic and happy. No, not with this track specifically. ", I like the feeling and mood of the song.,,,,,It is upbeat. It is energetic and happy,, I like the feeling and mood of the song.,, It is upbeat.,,,,,,,,,,,,,,The band and how quickly it became popular.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, not with this track specifically. ",
187,b,The sad feeling. It is a good song to sing along to. I like his voice and enjoy singing along. I identify with parts of the lyrics. No not this song but I do with other songs by this artist and so some of the relationship extends to this song. , I like his voice and enjoy singing along,,,,,, I identify with parts of the lyrics.,,,,,,,,,,,,,,, I like his voice and enjoy singing along,,No not this song but I do with other songs by this artist and so some of the relationship extends to this song. ,,,,,,,,,,,,The sad feeling.,,,,,,,,,,,,,,,,,,,,,,It is a good song to sing along to/  I like his voice and enjoy singing along,,,,,,,,,,,,,,,,,No not this song but I do with other songs by this artist and so some of the relationship extends to this song. ,
188,a,This was a comeback song for the Maccabees after a break./I have all of the Maccabees albums on my device./Maccabees are one of my favourite bands and this reminds me of some great gigs./Yes - Maccabees have been an important band to me so I have a relationship with a lot of their songs.,,Maccabees are one of my favourite bands and this reminds me of some great gigs,,Yes - Maccabees have been an important band to me so I have a relationship with a lot of their songs.,,,,Yes - Maccabees have been an important band to me so I have a relationship with a lot of their songs.,,,,,,,,,,,,,,,/I have all of the Maccabees albums on my device.,This was a comeback song for the Maccabees after a break. / /I have all of the Maccabees albums on my device. / Maccabees are one of my favourite bands and this reminds me of some great gigs / Yes - Maccabees have been an important band to me so I have a relationship with a lot of their songs.,,,,,,,,,,,,,Maccabees are one of my favourite bands and this reminds me of some great gigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
